,Comp Score,Date,Negative Score,Neutral Score,Positive Score,Source,Text
0,0.0,Tue Mar 27 21:59:30 +0000 2018,0.0,1.0,0.0,fox,"Have you ever seen a conference releasing a diversity report, even if it’s only in the spectrum of gender?

I haven… https://t.co/e819on1BUh"
1,0.4939,Tue Mar 27 09:00:45 +0000 2018,0.0,0.714,0.286,fox,@darngooood I’m perpetually inspired by your clothing style. ✨😭😍
2,-0.872,Tue Mar 27 02:09:57 +0000 2018,0.664,0.336,0.0,fox,"@mspowahs ugh damn Facebook, the root of evil"
3,0.623,Tue Mar 27 01:25:24 +0000 2018,0.0,0.77,0.23,fox,"Company: Diversity and inclusion are really important to us!

Company has:

→ Zero women
→ Women only in support, m… https://t.co/MZmNK67D6a"
4,0.0,Tue Mar 27 00:54:50 +0000 2018,0.0,1.0,0.0,fox,"RT @zeynep: Show me your budget and business model, and I’ll know your actual priorities. The rest is mostly PR. https://t.co/hy3XyoW3Lt"
5,0.0,Mon Mar 26 23:23:04 +0000 2018,0.0,1.0,0.0,fox,@jennwrites the voices are coming from inside the house
6,0.8313,Mon Mar 26 23:22:32 +0000 2018,0.0,0.339,0.661,fox,@lara_hogan Congratulations! You both look fantastic. 💝
7,0.8176,Mon Mar 26 22:37:19 +0000 2018,0.0,0.754,0.246,fox,"RT @menajew: There’s a common misconception that you can’t be Disabled and happy. That you can’t express joy, and if you do, you must not b…"
8,-0.5574,Mon Mar 26 22:25:49 +0000 2018,0.167,0.833,0.0,fox,"Meanwhile in Poland, where the government is still trying to push an abortion ban and curb women’s rights. https://t.co/zTmJo9P2gy"
9,0.2023,Mon Mar 26 07:00:10 +0000 2018,0.0,0.917,0.083,fox,"A casual reminder that you don’t need to be an entrepreneur, founder, C-level exec or a manager for your work to ma… https://t.co/jcxAagr1cL"
10,0.0,Mon Mar 26 06:58:15 +0000 2018,0.0,1.0,0.0,fox,"@kouky @benschwarz It’s for me, obviously"
11,0.1179,Mon Mar 26 03:56:41 +0000 2018,0.123,0.722,0.156,fox,"Seriously, @wnotw? Alcohol is the top perk you can think of? https://t.co/itaV4XwmOZ"
12,0.2732,Mon Mar 26 03:44:31 +0000 2018,0.0,0.741,0.259,fox,RT @sarahcuda: this is well put. https://t.co/5sDOcqX29b
13,0.0,Mon Mar 26 02:47:03 +0000 2018,0.0,1.0,0.0,fox,I need this pin immediately. https://t.co/EHTEFefzop
14,0.4588,Mon Mar 26 02:42:53 +0000 2018,0.0,0.667,0.333,fox,@dgoodlad might be of your interest https://t.co/pS2X5ExrLs
15,0.0,Mon Mar 26 00:26:16 +0000 2018,0.0,1.0,0.0,fox,"Less mentoring, more empowerment."
16,0.6588,Mon Mar 26 00:07:12 +0000 2018,0.0,0.804,0.196,fox,"My life in a nutshell (plus a few great strategies on not talking about “being a woman in tech”).

👏🏻 @vaurorapub!

https://t.co/aTlTP0F8jI"
17,0.8873,Mon Mar 26 00:05:56 +0000 2018,0.0,0.619,0.381,fox,"Do yourself a favour and read this fantastic piece by @sw and @vaurorapub on getting free from toxic tech culture.

https://t.co/CzPs8FaBcL"
18,-0.296,Sun Mar 25 23:28:32 +0000 2018,0.115,0.885,0.0,fox,"After running a 4-day conference and I’m now back on calling out exclusion and toxic tech culture.

💁🏻‍♀️ 👋🏻"
19,0.7351,Sun Mar 25 20:48:09 +0000 2018,0.0,0.721,0.279,fox,"@benschwarz @adactio Also coffee at Karma, sweets at Massolit Bakery, wine at Charlotte, beer at Multi Qlti :)"
20,0.4019,Sun Mar 25 01:36:33 +0000 2018,0.0,0.856,0.144,fox,RT @bubsolow: starting the job hunt ☞ would appreciate any junior developer roles / feedback on my resume https://t.co/PiSPoASsEf
21,0.6369,Sat Mar 24 20:59:43 +0000 2018,0.0,0.698,0.302,fox,"@jennschiffer @laras126 @gr2m @jimthoburn @rouzbeh84 Yep, I just wanted to clarify why I was asking :)"
22,0.3612,Sat Mar 24 20:44:20 +0000 2018,0.0,0.865,0.135,fox,"@jennschiffer @laras126 @gr2m @jimthoburn @rouzbeh84 I understand that, however I’d like to point out that there ar… https://t.co/Bn3xxN1M2S"
23,-0.2263,Sat Mar 24 10:01:49 +0000 2018,0.204,0.657,0.139,fox,My event organizing performance review lies in community impressions. 🙏🏻 https://t.co/4mzFEwwzKR
24,0.0,Sat Mar 24 09:37:21 +0000 2018,0.0,1.0,0.0,fox,@laras126 @gr2m @jimthoburn @rouzbeh84 @jennschiffer Hmmmm... did that go through the rules for running a CSSConf? https://t.co/KaFgIwo4Rd
25,0.4019,Sat Mar 24 01:41:30 +0000 2018,0.0,0.881,0.119,fox,"I wish all of the brands capitalizing on the feminist movement at least had some baseline of inclusion.

Make it in… https://t.co/yK3F8MMBP0"
26,0.4404,Fri Mar 23 23:03:43 +0000 2018,0.0,0.854,0.146,fox,"Looking to read some new, good product and design books. Any recommendations for publications within the last 3 years? 🙏"
27,0.7213,Fri Mar 23 23:03:00 +0000 2018,0.0,0.373,0.627,fox,"@tsunamino omg, so excellent!"
28,0.7959,Fri Mar 23 22:54:03 +0000 2018,0.0,0.497,0.503,fox,@sch Sure! Thank you for being open to chatting. Emailed. :)
29,0.4588,Fri Mar 23 22:32:15 +0000 2018,0.0,0.769,0.231,fox,"@sch I’m in Melbourne, which has 5 hours overlap with SF :)"
30,0.0,Fri Mar 23 22:17:43 +0000 2018,0.0,1.0,0.0,fox,@sch hey! I’m assuming this isn’t a remote job?
